OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_42	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Agaricales_1	Agaricales_1	Agaricales	Agaricales_1												
OTU_43	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Auriculariales_1	Auriculariales_1	Auriculariales	Auriculariales_1												
OTU_44	Fungi_1	Fungi_1	Fungi	Fungi_1	Glomeromycota_1	Glomeromycota_1	Glomeromycota	Glomeromycota_1	Glomeromycetes_1	Glomeromycetes_1	Glomeromycetes	Glomeromycetes_1	Diversisporales_1	Diversisporales_1	Diversisporales	Diversisporales_1	Acaulosporaceae_1	Acaulosporaceae_1	Acaulosporaceae	Acaulosporaceae_1								
OTU_45	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Tremellomycetes_1	Tremellomycetes_1	Tremellomycetes	Tremellomycetes_1	Cystofilobasidiales_1	Cystofilobasidiales_1	Cystofilobasidiales	Cystofilobasidiales_1	Mrakiaceae_1	Mrakiaceae_1	Mrakiaceae	Mrakiaceae_1	Mrakia_1	Mrakia_1	Mrakia	Mrakia_1	Mrakia frigida 			Mrakia frigida 
OTU_46	Fungi_1	Fungi_1	Fungi	Fungi_1		Ascomycota_1		Ascomycota_1		Sordariomycetes_1		Sordariomycetes_1		Sordariales_1		Sordariales_1		Lasiosphaeriaceae_1		Lasiosphaeriaceae_1								
OTU_47	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Auriculariales_1	Auriculariales_1	Auriculariales	Auriculariales_1												
OTU_48	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales	Pleosporales_1	Didymellaceae_1	Didymellaceae_1	Didymellaceae	Didymellaceae_1	Epicoccum_1	Epicoccum_1	Epicoccum	Epicoccum_1	Epicoccum dendrobii 			Epicoccum dendrobii 
OTU_49	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Leotiomycetes_1	Leotiomycetes_1	Leotiomycetes	Leotiomycetes_1	Helotiales_1	Helotiales_1	Helotiales	Helotiales_1												
OTU_50	Fungi_1	Fungi_1	Fungi	Fungi_1	Mortierellomycota_1	Mortierellomycota_1	Mortierellomycota	Mortierellomycota_1	Mortierellomycetes_1	Mortierellomycetes_1	Mortierellomycetes	Mortierellomycetes_1	Mortierellales_1	Mortierellales_1	Mortierellales	Mortierellales_1	Mortierellaceae_1	Mortierellaceae_1	Mortierellaceae	Mortierellaceae_1	Mortierella_1	Mortierella_1	Mortierella	Mortierella_1				
OTU_51	Fungi_1	Fungi_1	Fungi	Fungi_1	Basidiomycota_1	Basidiomycota_1	Basidiomycota	Basidiomycota_1	Agaricomycetes_1	Agaricomycetes_1	Agaricomycetes	Agaricomycetes_1	Auriculariales_1	Auriculariales_1	Auriculariales	Auriculariales_1												
